Fecha,Hora,Frecuencia cardiaca,Origen
2026.09.13 14:01:00,14:01:00,116,
2026.09.13 14:02:00,14:02:00,104,
2026.09.13 14:04:00,14:04:00,91,
2026.09.13 14:08:00,14:08:00,90,
2026.09.13 14:09:00,14:09:00,84,
2026.09.13 14:12:00,14:12:00,80,
2026.09.13 14:13:00,14:13:00,92,
2026.09.13 14:14:00,14:14:00,104,
2026.09.13 14:15:00,14:15:00,86,
2026.09.13 14:16:00,14:16:00,86,
2026.09.13 14:17:00,14:17:00,66,
2026.09.13 14:18:00,14:18:00,64,
2026.09.13 14:19:00,14:19:00,87,
2026.09.13 14:20:00,14:20:00,96,
2026.09.13 14:21:00,14:21:00,85,
2026.09.13 14:22:00,14:22:00,90,
2026.09.13 14:23:00,14:23:00,92,
2026.09.13 14:24:00,14:24:00,95,
2026.09.13 14:27:00,14:27:00,83,
2026.09.13 14:28:00,14:28:00,94,
2026.09.13 14:30:00,14:30:00,80,
2026.09.13 14:31:00,14:31:00,89,
2026.09.13 14:33:00,14:33:00,82,
2026.09.13 14:34:00,14:34:00,94,
2026.09.13 14:36:00,14:36:00,79,
2026.09.13 14:37:00,14:37:00,80,
2026.09.13 14:39:00,14:39:00,99,
2026.09.13 14:40:00,14:40:00,84,
2026.09.13 14:41:00,14:41:00,84,
2026.09.13 14:42:00,14:42:00,93,
2026.09.13 14:43:00,14:43:00,89,
2026.09.13 14:44:00,14:44:00,85,
2026.09.13 14:45:00,14:45:00,98,
2026.09.13 14:46:00,14:46:00,93,
2026.09.13 14:47:00,14:47:00,93,
2026.09.13 14:48:00,14:48:00,90,
2026.09.13 14:49:00,14:49:00,82,
2026.09.13 14:50:00,14:50:00,79,
2026.09.13 14:51:00,14:51:00,83,
2026.09.13 14:52:00,14:52:00,85,
2026.09.13 14:53:00,14:53:00,81,
2026.09.13 14:57:00,14:57:00,90,
2026.09.13 14:58:00,14:58:00,92,
2026.09.13 14:59:00,14:59:00,94,
2026.09.13 15:00:00,15:00:00,86,
2026.09.13 15:01:00,15:01:00,94,
2026.09.13 15:02:00,15:02:00,89,
2026.09.13 15:03:00,15:03:00,90,
2026.09.13 15:04:00,15:04:00,93,
2026.09.13 15:05:00,15:05:00,92,
2026.09.13 15:06:00,15:06:00,100,
2026.09.13 15:07:00,15:07:00,95,
2026.09.13 15:08:00,15:08:00,94,
2026.09.13 15:09:00,15:09:00,88,
2026.09.13 15:10:00,15:10:00,90,
2026.09.13 15:11:00,15:11:00,93,
2026.09.13 15:12:00,15:12:00,92,
2026.09.13 15:13:00,15:13:00,96,
2026.09.13 15:14:00,15:14:00,87,
2026.09.13 15:15:00,15:15:00,92,
2026.09.13 15:16:00,15:16:00,96,
2026.09.13 15:17:00,15:17:00,97,
2026.09.13 15:18:00,15:18:00,92,
2026.09.13 15:19:00,15:19:00,96,
2026.09.13 15:20:00,15:20:00,91,
2026.09.13 15:21:00,15:21:00,92,
2026.09.13 15:22:00,15:22:00,84,
2026.09.13 15:23:00,15:23:00,87,
2026.09.13 15:24:00,15:24:00,80,
2026.09.13 15:25:00,15:25:00,86,
2026.09.13 15:26:00,15:26:00,85,
2026.09.13 15:27:00,15:27:00,81,
2026.09.13 15:28:00,15:28:00,79,
2026.09.13 15:29:00,15:29:00,85,
2026.09.13 15:30:00,15:30:00,78,
2026.09.13 15:31:00,15:31:00,85,
2026.09.13 15:32:00,15:32:00,84,
2026.09.13 15:33:00,15:33:00,80,
2026.09.13 15:34:00,15:34:00,89,
2026.09.13 15:35:00,15:35:00,83,
